STIS,Depth,NH4,NOx,SRP,TN,TP,K,Na,Ca,Mg,Cl,SO4,chla,DOC,TSS,VSS
7211,Mid,19.2,289,4.89,408,2.82,0.97,4.18,26.26,7.67,7.01,15.66,0.698,1.53,0.32,0.215
7212,Epi,30.6,274,4.74,427,0.61,0.97,4.3,26.77,7.66,7.07,15.78,0.293,1.66,0.235,0.135
7214,Bottom ,14.8,262,4.53,405,0.61,0.97,4.25,26.79,7.73,7.11,15.82,0.6933,1.58,0.04,0.035
7215,Mid,14.5,296,5.3,393,0.61,0.97,4.32,26.96,7.73,7.08,15.78,0.7176,1.55,0.225,0.14
7290,Bottom ,20,243,4.9,368,0.61,0.79,3.69,21.56,5.82,,,1.0896,3.33,0.653,0.193
7291,Mid,17.6,245,5.1,390,1.6,0.78,3.46,20.99,5.44,,,1.0898,4.88,0.887,0.38
7292,Epi,15.7,242,5.84,354,11.2,0.72,3.12,18.84,5.05,,,1.0103,4.3,0.693,0.067
7294,Epi,10.5,242,3.5,366,15,0.67,2.7,17.5,4.61,,,1.308,2.11,0.88,0.367
7295,Mid,19,264,5.1,389,0.61,0.87,3.7,21.9,5.94,,,1.2885,2.23,0.387,0.02
7296,Bottom ,16.4,273,4.51,378,10.6,0.87,3.73,23.15,6.34,,,0.4482,2.38,0.3,0.02
7298,Epi,12.3,172,4.86,330,4.36,0.83,4.18,18.89,4.99,,,1.8035,2.98,0.66,0.567
7299,Mid,13.2,209,5.33,347,25.1,0.85,3.84,21.4,5.7,,,1.267,2.31,0.56,0.373
7300,Bottom ,22.9,200,6.61,334,0.61,0.85,3.89,21.75,5.85,,,0.9402,4.19,0.547,0.453
7302,Epi,9.74,210,2.09,371,7.16,0.83,3.75,21.08,5.74,,,1.0351,2.27,0.493,0.473
7303,Mid,21.9,233,6.4,352,2.78,0.89,4.05,22.11,6.11,,,0.9246,2.31,0.273,0.26
7304,Bottom ,17.6,263,4.72,382,7.38,0.89,3.85,22.75,6.35,,,0.3888,2.02,0.247,0.02
7306,Epi,11.8,209,4.82,361,12.1,0.89,4.04,22.68,6.12,6.45,13.13,0.4313,2.72,0.127,0.013
7307,Mid,6.68,205,3.8,331,3.23,0.89,4.04,22.21,6.2,6.48,13.24,0.4521,2.51,0.347,0.293
7308,Bottom ,15.4,221,5.03,340,12.9,0.9,4.11,22.97,6.38,6.53,13.43,0.7405,2.49,0.153,0.013
7310,Epi,15.3,214,0.553,345,1.62,0.89,4.2,22.01,6.19,,,0.4045,2.18,0.273,0.033
7311,Mid,15.9,236,4.92,358,5.6,0.97,4.4,24.09,6.8,,,0.6707,1.91,0.233,0.067
7312,Bottom ,12.4,132,4.08,367,6.04,0.92,4.07,23.98,6.72,,,0.617,1.74,0.147,0.133
7314,Epi,15.7,226,3.91,354,5.52,0.92,4.02,22.78,6.58,6.79,14.03,0.3172,2.07,0.373,0.087
7315,Mid,9.83,244,3.96,402,4.99,0.81,3.11,20.9,5.4,6.91,14.22,0.9548,1.94,0.94,0.293
7316,Bottom ,18.5,253,4.56,377,14.3,0.83,3.13,21.58,5.56,6.93,14.34,0.6341,1.9,0.067,0.14
7318,Epi,18.1,214,3.9,346,1.61,0.76,3.39,19,4.66,,,0.5164,2.61,0.32,0.26
7319,Mid,16.3,210,3.8,369,5.89,0.8,3.42,19.66,4.72,,,0.5114,2.48,0.313,0.147
7320,Bottom ,26.6,223,5.68,357,1.34,0.88,4.63,23.49,6.41,,,0.7334,2.38,0.273,0.247
7322,Epi,19.4,227,5.17,387,17.4,0.89,4.51,23.68,6.25,,,0.5523,2.31,0.253,0.253
7324,Bottom ,22.7,255,5.48,374,4.2,0.9,4.18,24.96,6.79,,,0.2854,2.14,0.093,0.067
7325,Mid,15.5,231,4.57,353,0.61,0.89,4.32,22.1,6.65,,,1.1962,2.34,0.26,0.013
7326,Epi,14.5,244,4.53,381,0.61,0.95,4.4,22.14,6.68,,,0.3265,2.21,0.067,0.047
7328,Bottom ,15.4,245,4.58,358,0.61,0.96,4.41,22.43,6.65,,,0.2917,2.3,0.02,0.007
7329,Mid,8.81,242,4.41,389,0.61,0.97,4.38,22.74,6.8,,,1.1455,2.37,0.12,0.02
7330,Epi,15,250,4.37,411,0.61,1,4.7,23.77,6.81,7.47,14.01,1.2309,2.67,0.707,0.0653
7331,Mid,13.5,226,4.31,399,0.61,0.97,4.44,22.94,6.76,7.06,13.95,0.5846,2.42,0.453,0.0393
7332,Bottom ,22,240,5.38,382,0.61,0.98,4.43,23.15,6.71,7.01,14.24,0.5971,2.23,0.207,0.147
7334,Epi,13.2,240,4.19,382,2.73,0.99,4.58,23.13,6.76,,,0.7359,2.08,0.227,0.12
7336,Bottom ,17.2,247,4.47,378,0.61,0.99,4.56,23.01,6.84,,,0.3789,2.74,0.153,0.033
7337,Mid,11.1,240,4.52,380,6.1,0.99,4.41,22.18,6.77,,,1.3806,2.12,0.133,0.12
7338,Epi,17.9,242,4.58,418,2.61,1,4.44,22.75,6.82,,,0.5522,2.05,-19.38,0.147
7340,Bottom ,16.9,258,4.8,380,4.09,0.93,4.43,22.84,6.77,,,0.1839,2.3,0.18,0.153
7341,Mid,13.6,242,3.6,434,9.72,0.92,4.42,22.41,6.66,,,0.8975,2.03,0.407,0.2
7342,Epi,14.5,325,6.08,479,9.72,0.98,4.45,24.9,7.68,,,0.5286,2.53,0.74,0.5
7343,Mid,13.6,271,4.7,422,8.39,0.96,4.35,23.77,7.47,,,0.6191,2.06,0.56,0.247
7344,Bottom ,10.1,251,4.35,383,1.86,0.94,4.34,23.46,7.26,,,0.4726,2.23,0.333,0.267
7346,Epi,15.2,363,3.94,531,4.66,0.98,4.48,24.92,7.51,7.34,16.02,0.3376,1.87,0.367,0.233
7348,Bottom ,10.2,274,5.25,406,9.54,0.95,4.37,24.09,7.29,7.04,15.69,0.7127,2,0.08,0.06
7349,Mid,10.3,273,4.76,400,6.38,0.95,4.35,23.56,7.45,7.06,15.72,1.1624,1.85,0.313,0.193
7350,Epi,17.6,332,6.67,472,3.9,,,,,,,0.2023,2.06,0.24,0.113
7352,Bottom ,20.9,294,6.35,427,2.88,,,,,,,0.1816,1.84,0.047,0.02
7353,Mid,9.94,202,6.3,448,0.61,,,,,,,1.389,1.94,0.26,0.047
7354,Epi,29.6,311,7.94,490,0.61,,,,,,,0.2667,2.28,0.38,0.34
7355,Mid,16.3,314,10.8,482,0.61,,,,,,,0.4469,2.11,0.393,0.147
7356,Bottom ,15.3,287,5.39,450,0.61,,,,,,,0.4879,2.6,0.273,0.16
7358,Epi,12.8,317,5.63,488,0.61,,,,,,,0.4592,2.35,0.58,0.54
7359,Mid,12.3,273,7.34,437,6.36,,,,,,,0.7977,2.17,0.34,0.287
7360,Bottom ,14.5,274,5.21,476,0.61,,,,,,,0.7737,1.86,0.227,0.227
7362,Epi,17.9,259,6.85,493,0.61,,,,,,,0.3849,1.98,0.3,0.267
7363,Mid,13.4,278,6.07,400,6.84,,,,,,,0.5109,1.61,0.227,0.007
7364,Bottom ,14.5,275,6.3,429,0.61,,,,,,,0.4682,2.08,0.133,0.167
7366,Epi,8.11,301,3.28,487,0.61,,,,,,,2.2986,2.71,1.007,0.847
7368,Bottom ,15.2,170,5.96,386,0.61,,,,,,,0.9638,2.1,0.607,0.28
7369,Mid,11.3,282,4.74,486,8.86,,,,,,,1.9018,2.26,0.933,0.727
7370,Epi,13.3,292,4,441,2.04,,,,,,,0.5524,2.07,0.267,0.2
7371,Mid,14.7,276,4.94,415,2.78,,,,,,,0.5588,1.93,-0.2,0.007
7372,Bottom ,13.8,243,3.94,422,0.61,,,,,,,0.2383,1.72,0.127,0.1
7374,Epi,14.2,296,4.82,451,0.61,,,,,,,0.3206,2.4,0.213,0.22
7375,Mid,9.47,283,3.77,369,0.61,,,,,,,0.8516,1.79,0.147,0.127
7376,Bottom ,18.5,292,5.72,450,3.55,,,,,,,1.0529,1.79,0.273,0.12
7377,Mid,10.3,289,5.2,459,4.52,,,,,,,1.4419,1.74,0.333,0.287
7378,Epi,9.12,234,5.39,361,6.82,,,,,,,0.6171,2.36,0.407,0.36
7379,Mid,14,216,6.51,322,0.61,,,,,,,0.5833,2.21,0.48,0.093
7380,Bottom ,10.4,219,4.27,338,7.62,,,,,,,0.7243,1.99,0.333,0.313
7382,Epi,9.54,243,4.67,404,0.61,,,,,,,0.5694,2.07,0.353,0.247
7384,Bottom ,46.1,258,12.6,442,0.61,,,,,,,0.6958,2.03,0.293,0.26
7385,Mid,28,234,10.2,371,0.61,,,,,,,1.5266,2.1,0.333,0.313
7386,Epi,11.3,238,5.23,365,0.61,,,,,,,0.8017,1.97,0.413,0.073
7388,Bottom ,18.2,279,6.17,300,3.23,,,,,,,0.3083,1.68,0.18,0.1
7389,Mid,12.5,280,5.14,424,0.61,,,,,,,1.4667,1.76,0.267,0.147
7600,Epi,29.6,249,5.43,357,0.61,0.77,3.35,17.73,5.17,5.07,11.5,1.345,2.38,0.793,0.467
7601,Epi,18.9,244,4.34,405,0.61,0.71,2.91,16.68,4.58,4.13,9.62,1.344,2,0.9,0.66
7602,,,,,,,1.17,7.5,27.93,8.5,12.14,24.22,,,,
7603,Bottom ,22.5,256,5.01,414,0.61,0.86,3.73,18.97,5.86,5.36,12.61,0.7349,4.03,0.513,0.4
7604,Mid,24.2,254,5.75,414,2.46,0.85,3.58,18.17,5.66,5.06,11.9,1.011,3.09,0.793,0.5
7605,Epi,10.6,216,4.75,396,0.61,0.77,3.25,17.56,5.18,4.53,10.86,1.717,17.02,0.808,0.642
7607,Bottom ,25,271,6.51,424,0.61,0.89,3.84,19.42,6.18,5.57,12.97,0.6578,2.48,0.9,0.533
7608,Mid,11.7,217,4.38,384,0.61,0.85,3.69,18.63,5.75,5.22,12.34,1.883,2.79,-0.496,0.133
7609,Epi,20.9,168,6.11,363,0.61,0.85,4.4,16.6,5.21,5.73,13.95,2.013,3.79,0.787,0.28
7610,Epi,19.3,180,5.26,361,0.61,0.88,4.14,18.04,5.78,5.68,13.69,2.345,2.92,0.873,0.733
7612,Bottom ,21,198,4.4,361,0.61,0.89,4.06,18.63,5.84,5.65,13.56,1.1315,2.64,0.833,0.473
7613,Mid,20.4,187,4.96,346,0.61,0.86,4.22,18.15,5.85,5.85,13.65,1.704,3.7,0.667,0.56
7614,Epi,12.9,185,5.18,337,0.61,0.84,3.8,18.04,5.61,5.35,12.84,2.244,2.99,0.987,0.667
7616,Bottom ,22.4,271,5.9,410,0.61,0.89,4.4,21.09,6.46,5.94,13.89,0.5621,2.17,0.56,0.267
7617,Mid,16.4,167,4.31,508,6.14,0.89,8.64,19.37,5.61,5.41,12.85,2.026,3.08,0.887,0.687
7618,Epi,18.9,164,3.56,350,0.61,0.85,4.04,19.01,5.79,6.16,12.31,1.412,3.04,0.547,0.247
7619,Epi,12.6,197,3.77,415,0.61,0.9,4.22,20.21,6.25,6.49,13.3,0.9938,2.48,0.56,0.553
7620,Mid,17.8,199,3.56,357,3.77,0.9,5.25,20.33,6.25,6.47,13.37,1.008,2.33,0.447,0.387
7621,Bottom ,18.3,163,3.18,392,0.61,0.92,4.24,20.66,6.28,6.49,13.22,1.04,3.07,0.553,0.167
7623,Epi,13.6,188,2.86,346,0.61,0.89,4.18,19.73,6.15,6.35,12.96,1.067,2.14,0.553,0.52
7625,Bottom ,25,236,4.47,397,0.61,0.98,4.39,21.91,6.8,6.74,14.15,0.4373,2.36,0.247,0.227
7626,Mid,12.8,196,3.04,335,7.82,0.9,4.21,20.79,6.3,6.44,13.28,1.19,2.26,0.433,0.253
7627,Epi,16.8,213,4.44,366,0.61,0.92,4.22,21.51,6.42,6.59,13.31,0.8532,1.91,0.36,0.347
7629,Bottom ,23.9,245,4.95,374,0.61,0.93,4.68,22.61,6.83,6.81,14.25,0.1698,2.02,0.233,0.227
7630,Mid,21,228,3.72,377,1.72,0.93,4.28,21.09,6.58,6.76,14.13,1.6196,2.5,0.427,0.193
7631,Epi,19.2,196,3.59,377,0.61,0.95,4.98,21.78,6.53,7.25,13.61,0.998333333,1.9,0.591,0.127
7632,Epi,19.7,208,3.86,358,0.61,0.96,5.28,21.58,6.6,7.23,13.43,0.9516,2.26,0.387,0.08
7633,Mid,24.7,224,4.79,359,0.61,0.93,4.61,22.27,6.58,7.21,13.58,1.46,2.12,0.387,0.033
7634,Bottom ,24.3,223,3.83,372,0.61,0.93,4.65,21.31,6.52,7.29,13.54,0.6835,2.14,0.36,0.02
7636,Epi,17.1,225,4.07,409,0.61,0.93,4.79,22.1,6.88,7.01,14.08,0.7031,3.01,0.293,0.12
7638,Bottom ,28.7,216,4.64,438,0.61,1.01,4.93,22.06,6.68,7.03,13.92,0.3291,2.25,0.267,0.313
7639,Mid,24.5,254,4.53,387,0.61,0.95,4.6,22.06,6.87,7.05,14.03,0.9494,2.24,0.6,0.54
7640,Epi,17.1,210,4.6,370,0.61,0.94,5.01,21.77,6.63,7.28,13.79,0.7571,2.28,0.353,0.333
7642,Bottom ,29.5,251,4.59,391,2.83,0.97,4.49,21.9,6.86,6.98,14.03,0.2783,2.18,0.16,0.147
7643,Mid,22.1,230,4.75,366,0.61,0.97,4.57,23.63,6.7,7.03,14.18,0.9234,2.08,0.18,0.28
7644,Epi,21.6,261,4.48,459,0.61,1.05,5.38,25.82,7.53,8.74,14.41,0.7954,2.61,0.433,0.293
7645,Epi,13.8,238,4.13,411,11.4,0.99,4.65,22.81,6.97,7.47,14.27,1.023,2.22,0.533,0.347
7646,Mid,18.5,235,3.89,389,3.33,1,4.65,22.09,7.24,7.14,14.39,0.5935,2.12,0.293,0.207
7647,Bottom ,20.3,220,3.91,382,0.61,1,4.57,22.66,7.23,6.98,14.22,0.7881,2.13,0.48,0.307
7649,Epi,21.6,240,4.45,402,0.61,0.96,4.47,21.24,6.86,7.07,14.33,0.5851,1.87,0.36,0.0273
7651,Bottom ,26.3,238,5.92,436,0.61,0.97,4.51,21.51,6.75,7.01,14.25,0.2529,2,-0.04,0.007
7652,Mid,14.2,224,4.41,385,0.61,0.96,4.38,21.6,6.76,6.95,14.39,1.335,2.17,0.493,0.06
7653,Epi,16.7,218,3.6,368,0.61,0.95,4.95,21.39,6.57,7.07,14.03,0.5052,2.14,0.273,0.187
7655,Bottom ,26.1,259,4.55,475,0.61,1,4.52,21.56,6.87,7.02,14.25,0.195,2.12,0.187,0.18
7656,Mid,12.1,214,2.9,375,0.61,0.91,4.38,21.77,6.8,6.92,14.51,2.041,1.97,0.753,0.693
7658,Epi,45.4,292,4.42,455,3.34,1.04,4.87,25.26,7.94,7.75,16.24,0.8583,2.11,2.273,0.74
7659,Mid,40.1,292,3.67,473,0.61,1.03,4.79,24.79,7.82,7.74,16.19,0.8343,2.08,2.147,0.753
7660,Bottom ,33.1,266,4.5,461,0.61,1.1,4.86,24.42,7.68,7.76,16.39,0.8233,2.16,1.973,0.6
7662,Epi,12.6,281,3.93,418,0.61,1.01,5.07,23.54,7.66,7.29,16,0.5571,2.11,0.287,0.173
7664,Bottom ,32.8,290,4.79,465,0.61,1.01,4.93,24.22,7.44,7.07,16,0.4257,1.75,0.233,0.253
7665,Mid,35.1,282,4.22,420,0.61,1.03,4.61,24.09,7.61,7.12,16.05,0.7415,1.81,0.467,0.427
7666,Epi,16,281,3.72,415,0.61,1.02,4.73,24.38,7.91,7.56,16.12,0.6732,1.91,0.4,0.333
7668,Bottom ,31.5,319,6.04,419,0.61,1.03,4.67,25.14,8.08,6.99,15.76,0.1282,1.75,0.127,0.247
7669,Mid,22.7,274,4.4,416,0.61,0.99,4.55,24.16,7.83,7.14,15.88,1.077,1.843,0.353,0.333
7670,Epi,21.8,293,4.21,457,7.28,1.08,5.14,26.66,8.22,8.24,17.25,0.765,2.39,2.227,0.74
7671,Epi,21.1,283,4.14,456,0.61,1.07,4.97,25.46,7.98,7.72,16.19,0.6939,2.02,0.547,0.16
7672,Mid,16.8,257,4.49,446,0.61,1.03,4.76,25.14,7.77,7.65,16.08,0.7414,2.01,0.493,0.487
7673,Bottom ,27.9,264,4.32,443,2.73,1.02,4.73,24.97,7.75,7.5,15.99,1.289,1.99,0.907,0.427
7675,Epi,15.4,289,5.09,375,0.61,1.01,4.65,24.81,7.59,7.33,15.9,0.8715,1.87,0.507,0.413
7677,Bottom ,24.5,279,5.03,412,0.61,1,4.51,24.57,7.68,7.12,16.05,0.3964,1.71,0.267,0.267
7678,Mid,12.5,265,4.81,424,9.67,1,4.52,24.74,7.5,7.19,16.14,1.229,1.73,0.527,0.487
7679,Epi,11.9,269,5.13,414,2.34,1.03,4.69,25.12,7.79,7.66,15.7,0.6924,1.91,0.433,0.427
7681,Bottom ,12.8,264,4.18,411,0.61,1.04,4.71,25.55,8.01,7.02,15.88,1.111,1.83,0.493,0.493
7682,Mid,20.7,238,4.39,419,0.61,1.02,4.57,24.54,7.51,7.1,15.72,1.0066,1.78,0.64,0.6
7683,Epi,15.9,226,4.2,375,1.98,1,4.47,23.68,7.07,6.93,15.42,0.8205,2.03,0.707,0.493
7684,Epi,15.3,228,4.52,416,1.69,0.99,4.53,24.18,7.33,7,15.64,1.006,2.18,0.613,0.733
7685,Mid,22.2,236,4.84,392,0.61,0.99,4.53,24.53,7.35,6.99,15.24,0.876,2.11,0.853,0.767
7686,Bottom ,21.3,225,3.96,416,3.56,1,4.48,25.28,7.41,7.09,15.33,0.8122,1.99,0.96,0.787
7688,Epi,23.6,235,4.9,408,0.61,0.97,4.4,24.5,7.25,6.81,15.24,0.906,1.88,0.667,0.5
7689,Mid,,,,432,0.61,1,4.47,24.96,7.61,6.95,15.9,,1.72,0.754,0.692
7690,Bottom ,20.2,255,4.52,406,0.61,1.01,4.5,25.27,7.52,7.05,15.99,0.4066,1.66,0.273,0.26
7692,Epi,17.2,275,5.02,395,1.97,0.99,4.37,25.22,7.45,6.97,15.7,0.4554,2.16,0.24,0.18
7693,Mid,24,270,4.66,421,0.61,1.01,4.51,25.7,7.53,7.09,16.01,,1.86,0.327,0.307
7694,Bottom ,18.5,296,5.68,424,0.61,1.01,4.46,23.93,7.64,7.05,15.73,1.146,1.74,0.047,0.213
7696,Epi,22.4,296,6.24,389,0.61,1.04,5.48,24.59,7.88,7.31,15.49,1.0035,2.01,0.473,0.367
7697,Epi,18,221,5.82,376,0.61,0.98,4.52,20.71,7.23,7.09,15.28,1.174,1.97,0.467,0.36
7698,Mid,18.6,236,4.64,394,0.61,0.96,4.36,20.24,7.12,7.18,15.6,1.2117,1.92,0.547,0.453
7699,Bottom ,19.2,234,5.14,398,1.6,0.96,4.41,20.16,7.24,7.15,15.42,1.1604,2.03,0.593,0.58
7701,Epi,20.2,235,4.25,373,7.68,0.94,4.35,19.43,6.96,6.95,15.29,1.0631,1.94,0.56,0.54
7703,Bottom ,31,291,6.74,453,0.61,0.92,4.13,19,6.86,6.54,14.69,0.1755,1.59,0.1,0.193
7704,Mid,17.4,236,4.22,398,0.61,0.93,4.28,19.4,7.03,7.02,15.4,1.239,1.88,0.407,0.347
7705,Epi,14.4,230,5.13,380,0.61,0.88,3.99,18.05,6.36,6.15,13.88,1.762,1.91,0.74,0.673
7707,Bottom ,18.3,299,6.52,411,2.75,0.93,4.25,19.61,7.04,6.88,15.57,0.265,1.72,0.12,0.12
7708,Mid,21.7,237,5.38,371,2.82,0.89,4.02,18.22,6.56,6.29,14.27,1.617,1.95,0.447,0.433
