SiteID,Site,UnifiedDate,Year,MonthPeriod,CruiseSeason,DFS,Month,Area,MeterEnd,MeterMCoe,Volume
1,Spanish River 5,6/18/2022,2022,L June,Early Summer,Nearshore,June,NC,150,23.4285,4.600171332
2,Spanish River 18,6/16/2022,2022,L June,Early Summer,Nearshore,June,NC,108,16.86852,3.312123359
3,Spanish River 46,6/18/2022,2022,L June,Early Summer,Midshore,June,NC,90,14.0571,2.760102799
4,French River 18,6/15/2022,2022,L June,Early Summer,Nearshore,June,GB,160,24.9904,4.906849421
5,French River 46,6/15/2022,2022,L June,Early Summer,Midshore,June,GB,280,43.7332,8.586986487
6,French River 82,6/14/2022,2022,E June,Early Summer,Offshore,June,GB,410,64.0379,12.57380164
7,Parry Sound 5,6/11/2022,2022,E June,Early Summer,Nearshore,June,GB,50,7.8095,1.533390444
8,Parry Sound 18,6/11/2022,2022,E June,Early Summer,Nearshore,June,GB,150,23.4285,4.600171332
9,Parry Sound 46,6/11/2022,2022,E June,Early Summer,Midshore,June,GB,240,37.4856,7.360274132
10,Parry Sound 82,6/12/2022,2022,E June,Early Summer,Offshore,June,GB,420,65.5998,12.88047973
11,Nottawasaga River 5,6/11/2022,2022,E June,Early Summer,Nearshore,June,GB,30,4.6857,0.920034266
12,Nottawasaga River 18,6/11/2022,2022,E June,Early Summer,Nearshore,June,GB,110,17.1809,3.373458977
13,Nottawasaga River 46,6/10/2022,2022,E June,Early Summer,Midshore,June,GB,250,39.0475,7.66695222
14,Nottawasaga River 82,6/10/2022,2022,E June,Early Summer,Offshore,June,GB,470,73.4093,14.41387017
15,Saginaw Bay 9,6/6/2022,2022,E June,Early Summer,Nearshore,June,SB,240,6.674163178,1.310467769
16,Saginaw Bay 13,6/6/2022,2022,E June,Early Summer,Nearshore,June,SB,85,13.27615,2.606763755
17,Harbor Beach 5,6/7/2022,2022,E June,Early Summer,Nearshore,June,SMB,30,4.6857,0.920034266
18,Harbor Beach 18,6/7/2022,2022,E June,Early Summer,Nearshore,June,SMB,330,9.176974369,1.801893182
19,Harbor Beach 46,6/7/2022,2022,E June,Early Summer,Midshore,June,SMB,790,21.96912046,4.313623072
20,Harbor Beach 63,6/7/2022,2022,E June,Early Summer,Offshore,June,SMB,720,20.02248953,3.931403306
21,Maitland River 5,6/8/2022,2022,E June,Early Summer,Nearshore,June,SMB,50,7.8095,1.533390444
22,Maitland River 18,6/7/2022,2022,E June,Early Summer,Nearshore,June,SMB,110,17.1809,3.373458977
23,Maitland River 46,6/8/2022,2022,E June,Early Summer,Midshore,June,SMB,280,43.7332,8.586986487
24,Maitland River 73,6/8/2022,2022,E June,Early Summer,Offshore,June,SMB,380,59.3522,11.65376737
25,Saugeen River 18,6/9/2022,2022,E June,Early Summer,Nearshore,June,NMB,80,12.4952,2.453424711
26,Saugeen River 46,6/9/2022,2022,E June,Early Summer,Midshore,June,NMB,250,39.0475,7.66695222
27,Saugeen River 82,6/9/2022,2022,E June,Early Summer,Offshore,June,NMB,470,73.4093,14.41387017
28,Boot Island 18,6/19/2022,2022,L June,Early Summer,Nearshore,June,NMB,200,31.238,6.133561776
29,Boot Island 46,6/19/2022,2022,L June,Early Summer,Midshore,June,NMB,250,39.0475,7.66695222
30,Boot Island 73,6/19/2022,2022,L June,Early Summer,Offshore,June,NMB,490,76.5331,15.02722635
31,Thessalon River 5,6/19/2022,2022,L June,Early Summer,Nearshore,June,NC,30,4.6857,0.920034266
32,Thessalon River 18,6/18/2022,2022,L June,Early Summer,Nearshore,June,NC,300,8.342703972,1.638084711
33,Thessalon River 46,6/18/2022,2022,L June,Early Summer,Midshore,June,NC,950,26.41856258,5.187268251
34,Thessalon River 46 Offshore,6/18/2022,2022,L June,Early Summer,Offshore,June,NC,1050,29.1994639,5.733296488
35,Boot Island 18,7/10/2022,2022,E July,Summer,Nearshore,July,NMB,430,11.95787569,2.347921419
36,Boot Island 46,7/10/2022,2022,E July,Summer,Midshore,July,NMB,1160,32.25845536,6.333927548
37,Boot Island 73,7/10/2022,2022,E July,Summer,Offshore,July,NMB,810,22.52530072,4.422828719
38,Thessalon River 18,7/9/2022,2022,E July,Summer,Nearshore,July,NC,650,18.07585861,3.54918354
39,Thessalon River 46,7/9/2022,2022,E July,Summer,Midshore,July,NC,1290,35.87362708,7.043764256
40,Thessalon River 46 Offshore,7/9/2022,2022,E July,Summer,Offshore,July,NC,1200,33.37081589,6.552338843
41,Boot Island 18,6/8/2022,2022,E June,Early Summer,Nearshore,June,NMB,350,9.733154634,1.911098829
42,Boot Island 46,6/8/2022,2022,E June,Early Summer,Midshore,June,NMB,760,21.13485006,4.149814601
43,Boot Island 73,6/8/2022,2022,E June,Early Summer,Offshore,June,NMB,1170,32.53654549,6.388530372
44,Thessalon River 18,6/8/2022,2022,E June,Early Summer,Nearshore,June,NC,100,15.619,3.066780888
45,Thessalon River 46,6/7/2022,2022,E June,Early Summer,Midshore,June,NC,270,42.1713,8.280308398
46,Thessalon River 46 Offshore,6/7/2022,2022,E June,Early Summer,Offshore,June,NC,250,39.0475,7.66695222
47,Saginaw Bay 10,6/16/2022,2022,L June,Early Summer,Nearshore,June,SB,240,6.674163178,1.310467769
48,Saginaw Bay 9,6/19/2022,2022,L June,Early Summer,Nearshore,June,SB,60,9.3714,1.840068533
49,Saginaw Bay 13,6/19/2022,2022,L June,Early Summer,Nearshore,June,SB,660,17.606226,3.456971471
50,Harbor Beach 18,6/19/2022,2022,L June,Early Summer,Nearshore,June,SMB,120,18.7428,3.680137066
51,Harbor Beach 46,6/20/2022,2022,L June,Early Summer,Midshore,June,SMB,310,48.4189,9.507020753
52,Harbor Beach 63,6/20/2022,2022,L June,Early Summer,Offshore,June,SMB,380,59.3522,11.65376737
53,Saginaw Bay 10,7/9/2022,2022,E July,Summer,Nearshore,July,SB,420,11.67978556,2.293318595
54,Harbor Beach 18,7/10/2022,2022,E July,Summer,Nearshore,July,SMB,280,7.786523707,1.528879063
55,Harbor Beach 46,7/10/2022,2022,E July,Summer,Midshore,July,SMB,960,26.69665271,5.241871074
56,Harbor Beach 63,7/10/2022,2022,E July,Summer,Offshore,July,SMB,1110,30.8680047,6.06091343
57,Saginaw Bay 10,7/16/2022,2022,L July,Summer,Nearshore,July,SB,250,6.95225331,1.365070592
58,Saginaw Bay 9,7/15/2022,2022,L July,Summer,Nearshore,July,SB,320,8.898884237,1.747290358
59,Saginaw Bay 13,7/15/2022,2022,L July,Summer,Nearshore,July,SB,300,8.342703972,1.638084711
60,Harbor Beach 18,7/17/2022,2022,L July,Summer,Nearshore,July,SMB,330,9.176974369,1.801893182
61,Harbor Beach 46,7/17/2022,2022,L July,Summer,Midshore,July,SMB,910,25.30620205,4.968856956
62,Harbor Beach 63,7/17/2022,2022,L July,Summer,Offshore,July,SMB,1138,30.47010932,5.982786921
63,Boot Island 18,7/22/2022,2022,L July,Summer,Nearshore,July,NMB,430,11.95787569,2.347921419
64,Boot Island 46,7/22/2022,2022,L July,Summer,Midshore,July,NMB,1160,32.25845536,6.333927548
65,Boot Island 73,7/22/2022,2022,L July,Summer,Offshore,July,NMB,810,22.52530072,4.422828719
66,Thessalon River 18,7/20/2022,2022,L July,Summer,Nearshore,July,NC,650,18.07585861,3.54918354
67,Thessalon River 46,7/20/2022,2022,L July,Summer,Midshore,July,NC,1290,35.87362708,7.043764256
68,Thessalon River 46 Offshore,7/20/2022,2022,L July,Summer,Offshore,July,NC,1200,33.37081589,6.552338843
69,Spanish River 5,8/13/2022,2022,Aug,Late Summer,Nearshore,Aug,NC,50,7.8095,1.533390444
70,Spanish River 18,8/13/2022,2022,Aug,Late Summer,Nearshore,Aug,NC,80,12.4952,2.453424711
71,Spanish River 46,8/13/2022,2022,Aug,Late Summer,Midshore,Aug,NC,280,43.7332,8.586986487
72,French River 5,8/12/2022,2022,Aug,Late Summer,Nearshore,Aug,GB,70,10.9333,2.146746622
73,French River 18,8/12/2022,2022,Aug,Late Summer,Nearshore,Aug,GB,50,7.8095,1.533390444
74,French River 46,8/12/2022,2022,Aug,Late Summer,Midshore,Aug,GB,140,21.8666,4.293493243
75,French River 82,8/12/2022,2022,Aug,Late Summer,Offshore,Aug,GB,160,24.9904,4.906849421
76,Parry Sound 46,8/9/2022,2022,Aug,Late Summer,Midshore,Aug,GB,130,20.3047,3.986815155
77,Nottawasaga River 18,8/7/2022,2022,Aug,Late Summer,Nearshore,Aug,GB,110,17.1809,3.373458977
78,Nottawasaga River 46,8/7/2022,2022,Aug,Late Summer,Midshore,Aug,GB,100,15.619,3.066780888
79,Nottawasaga River 82,8/7/2022,2022,Aug,Late Summer,Offshore,Aug,GB,140,21.8666,4.293493243
80,Saginaw Bay 9,8/2/2022,2022,Aug,Late Summer,Nearshore,Aug,SB,120,18.7428,3.680137066
81,Saginaw Bay 13,8/2/2022,2022,Aug,Late Summer,Nearshore,Aug,SB,62,9.68378,1.901404151
82,Harbor Beach 5,8/4/2022,2022,Aug,Late Summer,Nearshore,Aug,SMB,30,4.6857,0.920034266
83,Harbor Beach 18,8/4/2022,2022,Aug,Late Summer,Nearshore,Aug,SMB,10,1.5619,0.306678089
84,Harbor Beach 46,8/4/2022,2022,Aug,Late Summer,Midshore,Aug,SMB,110,17.1809,3.373458977
85,Harbor Beach 63,8/4/2022,2022,Aug,Late Summer,Offshore,Aug,SMB,92,14.36948,2.821438417
86,Maitland River 5,8/6/2022,2022,Aug,Late Summer,Nearshore,Aug,SMB,50,7.8095,1.533390444
87,Maitland River 18,8/5/2022,2022,Aug,Late Summer,Nearshore,Aug,SMB,70,10.9333,2.146746622
88,Maitland River 46,8/5/2022,2022,Aug,Late Summer,Midshore,Aug,SMB,160,24.9904,4.906849421
89,Maitland River 73,8/5/2022,2022,Aug,Late Summer,Offshore,Aug,SMB,450,70.2855,13.800514
90,Saugeen River 18,8/6/2022,2022,Aug,Late Summer,Nearshore,Aug,NMB,70,10.9333,2.146746622
91,Saugeen River 46,8/6/2022,2022,Aug,Late Summer,Midshore,Aug,NMB,160,24.9904,4.906849421
92,Saugeen River 82,8/6/2022,2022,Aug,Late Summer,Offshore,Aug,NMB,120,18.7428,3.680137066
93,Boot Island 18,8/14/2022,2022,Aug,Late Summer,Nearshore,Aug,NMB,60,9.3714,1.840068533
94,Boot Island 46,8/14/2022,2022,Aug,Late Summer,Midshore,Aug,NMB,110,17.1809,3.373458977
95,Boot Island 73,8/14/2022,2022,Aug,Late Summer,Offshore,Aug,NMB,80,12.4952,2.453424711
96,Thessalon River 5,8/14/2022,2022,Aug,Late Summer,Nearshore,Aug,NC,50,7.8095,1.533390444
97,Thessalon River 18,8/14/2022,2022,Aug,Late Summer,Nearshore,Aug,NC,60,9.3714,1.840068533
98,Thessalon River 46,8/14/2022,2022,Aug,Late Summer,Midshore,Aug,NC,140,21.8666,4.293493243
99,Thessalon River 46 Offshore,8/14/2022,2022,Aug,Late Summer,Offshore,Aug,NC,100,15.619,3.066780888
100,Saugeen River 5,8/7/2022,2022,Aug,Late Summer,Nearshore,Aug,NMB,50,7.8095,1.533390444
