SiteID,DreissenidVeligers,Copepodnauplii,Ascomorphaeucaudis,Ascomorphaovalis,Asplanchnapriodonta,Bdelloidea,Cephalodellaspp,Collothecaspp,Conochilusunicornis,Euchlanisspp,Gastropusstylifer,Kellicottialongispina,Keratellacochlearis,Keratellacrassa,Keratellaearlinae,Keratellahiemalis,Keratellaquadrata,Lecaneflexilis,Lecaneludwigi,Lecanespp,Lepadellaspp,Monostylacopeis,Monostylalunaris,Monostylaspp,Notholcaacuminata,Notholcafoliacea,Notholcalaurentiae,Notholcasquamula,Ploesomahudsoni,Ploesomalenticulare,Ploesomatruncatum,Polyarthraspp,Pompholyxsulcata,Ptygura,Rotifera,Stephanoceros,Synchaetaspp,Trichocercacylindrica,Trichocercamulticrinis,Trichocercaporcellus,Trichocercarousseleti,Trichocercaspp,Trichotriaspp,Tylotrochamonopus
Ztx64-22282,7045,15915,0,0,252,0,0,0,252,0,440,4466,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,0,0,0,6102,0,0,0,0,0,0,0
Ztx64-22206,7413,5744,0,0,49,0,0,98,0,0,147,442,245,98,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,98,786,0,0,0,0,4615,0,0,0,0,0,0,0
Ztx64-22252,10428,26070,0,0,1117,0,0,372,20856,0,3724,8938,13035,0,745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745,23835,0,0,0,0,92362,0,0,0,0,0,0,0
Ztx64-22370,21172,38922,0,0,428,0,0,1069,19033,0,855,2566,855,2352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1497,5133,0,0,0,0,1497,0,0,0,0,0,0,0
Ztx64-22666,96870,18133,0,477,477,0,0,477,127887,0,5249,3340,24814,2863,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4772,33403,0,0,0,0,11930,0,477,0,0,0,0,0
Ztx64-22286,39457,55032,0,0,0,0,0,0,0,0,0,3738,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,0,0,3115,0,0,0,0,0,0,0
Ztx64-22210,54213,58300,0,0,817,0,0,272,545,0,1362,4359,817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2452,0,0,0,0,8990,0,0,0,0,0,0,0
Ztx64-22256,34682,68710,0,0,1309,0,0,1309,34682,0,3599,31737,7853,654,1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17014,0,0,0,0,11452,0,0,0,0,0,0,0
Ztx64-22374,11044,110435,0,0,0,0,0,9419,34430,0,7795,26310,1624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,1949,0,0,0,0,974,0,0,0,0,0,0,0
Ztx64-22670,147003,64107,0,4421,1105,0,0,4421,273006,0,23211,35369,38685,1105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4421,34264,0,0,0,0,14369,0,0,0,0,0,0,0
Ztx64-22290,12268,46422,0,0,0,0,0,0,294,0,294,981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,98,294,0,0,0,883,0,0,0,0,0,0,0
Ztx64-22214,23764,53469,0,0,0,0,0,270,810,0,270,5671,1890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2430,0,0,0,0,14853,0,0,0,0,0,0,0
Ztx64-22260,4444,8080,0,0,2929,0,0,505,34845,0,707,18483,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1313,0,0,0,0,505,0,0,0,0,0,0,0
Ztx64-22378,86502,122355,0,569,0,0,0,9675,110974,0,6829,38698,569,0,1138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5122,0,0,0,0,5691,0,0,0,0,0,0,0
Ztx64-22674,14350,27311,0,1389,0,0,0,463,101839,0,12961,13887,13887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1389,16202,0,0,0,0,9258,0,0,0,0,0,0,0
Ztx64-22106,20708,12842,0,0,0,0,0,161,3210,0,963,9631,5618,803,642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14608,0,0,0,0,26647,0,0,0,0,0,0,0
Ztx64-22562,994,5470,0,3481,1740,0,0,497,100193,0,746,1989,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497,8702,0,0,0,0,249,0,249,0,0,0,0,0
Ztx64-22110,42965,44350,0,0,0,0,0,0,1940,0,0,8593,2218,277,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11642,0,0,0,0,7761,0,0,0,0,0,0,0
Ztx64-22566,16802,32163,0,1440,480,0,0,3360,229943,0,480,12001,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,13921,0,0,0,0,4800,0,0,0,0,0,0,0
Ztx64-22558,110713,7381,0,12711,820,0,0,820,107843,0,2050,2050,1230,2460,1230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820,22553,0,0,0,0,1230,0,820,0,0,0,0,0
Ztx64-22114,463,44453,0,0,0,0,0,0,1042,0,116,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,810,0,0,0,0,4862,0,0,0,0,0,0,0
Ztx64-22570,22195,18921,0,728,3639,0,0,4366,149545,0,1455,2911,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2911,8369,0,0,0,0,2183,0,0,0,0,0,0,0
Ztx64-22162,103946,22452,0,0,0,0,0,0,0,0,0,0,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1109,0,0,0,0,0,0,0
Ztx64-22318,260454,25576,0,0,1044,0,0,522,52195,0,522,8873,522,1566,1044,0,0,0,0,0,0,0,0,522,0,0,0,0,0,0,522,2610,0,0,0,0,522,0,0,0,0,0,0,0
Ztx64-22334,3213,13520,0,0,268,0,0,268,38015,0,1339,7362,268,134,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,937,0,0,0,0,2811,0,0,0,0,0,0,0
Ztx64-22358,68747,11692,0,0,1871,0,0,468,93533,0,468,9353,0,468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468,1871,0,0,0,0,1403,0,0,0,0,0,0,0
Ztx64-22622,116998,17138,0,989,2307,0,0,1977,21093,0,3296,2966,659,659,0,0,0,0,0,0,0,0,659,0,0,0,0,0,0,0,659,2637,0,0,0,0,330,0,0,0,0,0,0,0
Ztx64-22338,99186,82429,0,0,1359,0,0,0,72918,0,2265,25816,1359,906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,906,453,0,0,0,0,3170,0,0,0,0,0,0,0
Ztx64-22362,89010,72480,0,0,2967,0,0,0,94520,0,4239,13987,1272,424,848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,424,0,0,0,0,1695,0,0,0,0,0,0,0
Ztx64-22158,13537,2978,0,0,0,0,160,0,92,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,92,0,0,0,0,0,0,0
Ztx64-22618,2878,4863,0,3349,0,0,0,372,347,0,223,372,273,323,25,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,372,1613,0,0,25,25,50,0,0,0,0,74,0,0
Ztx64-22342,53639,138085,0,0,0,0,0,725,56901,0,1812,3987,0,362,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,362,0,0,0,0,7249,362,0,0,0,0,0,0
Ztx64-22366,31792,108532,0,0,1096,0,0,3289,77288,0,2741,9318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6578,0,0,0,0,0,0,0
Ztx64-22166,8075,72363,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,311,0,0,155,0,0,0,0,0,0,0,0,776,0,0,0,0,0,0,0
Ztx64-22322,96658,168140,0,0,0,450,0,450,3147,0,0,899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12588,0,0,0,0,0,0,0
Ztx64-22626,15949,36171,0,1139,1709,0,0,1994,80886,0,3987,5981,570,2848,570,0,0,0,0,0,0,0,570,0,0,0,0,0,0,0,570,2848,0,1139,0,0,1709,285,0,0,0,0,0,0
Ztx64-22170,127,29092,0,0,0,0,0,0,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0
Ztx64-22326,37144,134715,0,0,0,0,0,0,832,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1109,0,0,0,0,0,0,0
Ztx64-22630,4855,38463,0,2427,3548,0,0,2241,56948,0,3361,13630,187,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,4668,0,0,0,0,6908,0,0,0,0,0,0,0
Ztx64-22178,3016,10071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,138,0,0,0,0,0,0,0
Ztx64-22638,40635,20769,0,16254,301,0,0,2408,89698,0,602,1204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602,9933,0,0,0,0,301,0,0,0,0,0,0,0
Ztx64-22182,52171,23834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,938,0,0,0,0,0,0,0,0,0,0,0,0
Ztx64-22642,4239,115289,0,4239,2543,0,0,2967,105964,0,2119,11020,848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8477,0,0,0,0,4239,0,0,0,0,0,0,0
Ztx64-22174,16301,1542,0,37,0,0,330,37,110,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0,0,0,0,3525,0,0,0,0,0,0,0
Ztx64-22634,47393,5809,0,0,0,0,0,0,51980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,0,0,0,0,0,0,1835,6115,0,0,0,0,0,0,0,0,0,0,0,0
Ztx64-22186,6672,21207,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715,0,0,0,0,0,0,0
Ztx64-22646,1663,56824,0,3603,1940,0,0,4435,43242,0,3049,14968,277,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554,8316,0,0,0,0,554,0,0,0,0,0,0,0
Ztx64-22138,61104,44284,0,0,0,0,0,0,0,213,0,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,639,0,0,0,0,0,0,0,0,0,0,0,0
Ztx64-22594,55085,8967,0,8327,1281,0,0,10248,341399,0,3203,1922,1281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3843,12170,0,0,0,0,3843,0,0,0,0,0,0,0
Ztx64-22142,31487,37275,0,0,0,0,0,0,232,0,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,0,0,0,579,0,0,0,0,0,0,0
Ztx64-22598,22090,22515,0,3823,2124,0,0,4673,183093,0,3823,2974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1699,8071,0,0,0,0,1699,0,0,0,0,0,0,0
Ztx64-22134,17756,10846,0,46,0,0,0,0,275,0,46,0,92,46,46,0,0,0,0,0,46,0,0,46,0,0,0,0,0,0,46,46,0,0,0,0,229,0,0,0,0,0,0,0
Ztx64-22146,3655,33912,0,0,0,0,0,0,56,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394,0,0,0,0,1237,0,0,0,0,0,0,0
Ztx64-22602,11161,22942,0,1860,3720,0,0,8061,285222,0,7441,3720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4960,8681,0,0,0,0,620,0,0,0,0,0,0,0
Ztx64-22122,66577,19571,0,183,0,0,0,183,549,0,366,366,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097,0,0,0,0,23229,0,0,0,0,0,0,0
Ztx64-22126,3013,36252,0,0,0,0,0,486,97,0,0,389,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166,0,0,0,0,1555,0,0,0,0,0,0,0
Ztx64-22582,13159,40299,0,822,5757,0,0,12336,334728,0,1645,8224,1645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4935,11514,0,0,0,0,6579,0,0,0,0,0,0,0
Ztx64-22118,4463,11120,0,37,74,0,0,0,260,0,0,260,149,37,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,707,0,0,0,0,6769,0,0,0,0,0,0,0
Ztx64-22130,0,37989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324,0,0,0,0,1134,0,0,0,0,0,0,0
Ztx64-22306,62238,22367,0,0,972,0,0,4862,147816,0,3404,9239,2431,486,1459,0,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2917,0,0,0,0,486,0,0,0,0,0,0,0
Ztx64-22330,24158,24868,0,1421,0,0,0,0,181894,0,17763,10658,7105,36237,5684,0,0,0,0,0,0,0,711,0,0,0,0,0,711,5684,7816,18474,0,0,0,0,90947,0,0,0,0,711,711,0
Ztx64-22346,43976,33792,0,1389,5092,0,0,3703,116652,0,11110,15276,0,31478,12036,0,0,0,0,0,0,0,463,0,0,0,0,0,0,1389,22682,18053,0,0,0,0,5555,4166,0,0,0,0,0,0
Ztx64-22154,105120,17972,0,0,0,0,0,339,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1695,0,0,0,0,11868,0,0,0,0,0,0,0
Ztx64-22354,26360,25069,0,369,922,0,0,553,27650,0,3134,4055,1659,10876,2581,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,2212,1659,0,0,0,553,11060,369,369,0,0,0,0,0
Ztx64-22314,156561,32784,0,669,0,0,0,12712,113741,0,2676,20072,1338,3345,669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,669,0,3345,0,0,0,0,2676,0,0,0,0,2007,0,0
Ztx64-22614,3511,11035,0,0,502,0,0,3177,52832,0,1003,2675,3009,5350,669,0,0,0,0,0,0,0,0,502,0,0,0,0,502,0,0,3845,0,0,0,0,0,836,0,0,0,0,0,0
Ztx64-22150,57504,19627,0,344,0,0,0,3099,14806,0,0,2410,6887,1377,344,0,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2755,0,0,0,0,30646,0,0,0,0,0,0,0
Ztx64-22310,26370,26370,0,377,0,0,0,4897,110754,0,16575,10548,5651,10548,2637,0,0,0,0,0,0,0,0,0,753,0,0,753,1884,5274,4521,3390,0,0,0,0,7534,753,0,0,0,0,0,0
Ztx64-22350,12329,20070,0,287,1720,0,0,287,60783,0,7168,4587,1147,20070,3154,0,0,0,0,0,0,0,860,0,0,0,0,0,0,287,1720,3154,0,0,0,0,3441,4014,0,0,0,0,0,0
Ztx64-22610,8724,10331,0,0,0,0,0,7805,23416,0,0,459,25942,10101,918,0,0,0,0,230,0,0,8265,0,0,0,0,0,689,0,918,2755,0,0,0,230,459,1377,689,0,0,0,0,0
Ztx64-22190,13635,4708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,0,0
Ztx64-22650,72067,10899,0,7785,0,0,0,667,16015,0,222,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2447,7118,0,0,0,0,2447,0,0,0,0,0,0,0
Ztx64-22194,22790,16294,0,0,0,0,0,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,0,0,0,0,0,0,0
Ztx64-22654,19523,44807,0,2880,320,0,0,640,139861,0,320,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640,6721,0,0,0,0,4481,0,0,0,0,0,0,0
Ztx64-NA,9550,5721,0,5316,0,0,0,180,721,0,0,45,0,0,0,0,0,90,0,45,0,45,45,0,0,0,0,0,0,0,1081,631,0,0,0,0,450,0,0,0,0,721,0,0
Ztx64-22658,20393,51245,0,1046,523,0,0,6275,151642,0,4183,2092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1569,7844,0,0,0,0,13073,0,0,0,0,0,0,0
Ztx64-22198,169,42010,0,56,0,0,0,0,112,0,281,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394,0,0,0,0,1293,0,0,0,0,0,0,0
Ztx64-22094,211380,33638,0,415,415,0,0,415,4153,0,1246,4153,9136,415,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14950,0,0,0,0,10382,0,0,0,0,0,0,0
Ztx64-22550,39049,16881,0,1830,1220,0,0,6915,31727,0,3864,1017,4474,0,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3457,24609,0,0,0,0,5085,0,203,2237,203,0,0,0
Ztx64-22098,137804,31445,0,0,925,0,0,925,7399,0,4162,6936,12948,462,2775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7399,0,0,0,0,16647,0,0,0,0,0,0,0
Ztx64-22554,22759,68278,506,3035,1012,0,0,12644,73841,0,13656,3035,17196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7586,48553,0,0,0,0,26300,0,0,0,0,1012,0,0
Ztx64-22090,7101,73618,0,0,473,0,0,0,8048,0,473,3077,19411,17043,2604,473,0,0,0,0,0,0,0,0,0,0,473,0,237,0,237,14676,0,0,0,0,1420,237,0,947,0,0,0,0
Ztx64-22546,19865,22489,0,3748,1499,0,0,6372,45352,0,10120,2249,10495,1124,1499,0,0,0,0,0,0,0,0,0,0,0,0,0,375,0,11619,60719,0,0,0,0,20615,0,0,750,0,750,0,0
Ztx64-22294,9404,29014,0,0,300,0,0,0,300,0,500,4402,300,200,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2701,0,0,0,0,7103,100,0,0,0,0,0,0
Ztx64-22222,3691,25268,0,0,710,0,0,142,6814,0,1278,4684,4684,994,1987,0,0,0,0,0,0,0,0,0,0,0,284,0,0,0,1136,6246,0,0,0,0,22712,0,0,0,0,0,0,0
Ztx64-22264,5630,32370,0,0,563,0,0,563,39970,0,5348,19140,27866,2252,1970,0,0,0,0,0,0,0,0,0,0,0,0,281,281,0,844,42503,0,0,0,0,36873,0,0,0,0,281,0,0
Ztx64-22382,4470,20288,0,1375,688,0,0,1032,62926,0,2751,3439,1032,7565,1375,0,0,0,0,0,0,0,0,0,0,0,0,0,1032,0,3782,20975,0,0,0,0,45045,0,0,0,0,0,0,0
Ztx64-22682,56204,32932,0,439,0,0,0,2195,126899,0,12734,5708,28541,3074,2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439,41714,0,0,0,0,6586,0,878,0,0,0,0,0
Ztx64-22298,1792,70049,0,0,652,0,0,326,2932,0,2118,7819,163,326,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5050,0,0,0,0,12869,0,0,0,0,0,0,0
Ztx64-22226,6244,40993,0,0,2443,0,0,271,22804,0,2172,16289,14931,1086,1900,543,0,0,0,0,0,0,0,0,0,271,543,1357,0,0,0,15746,0,0,0,0,23890,0,0,271,0,0,0,0
Ztx64-22268,4058,25972,0,203,0,0,0,406,21102,0,1826,13595,19276,1217,1623,0,0,0,0,0,0,0,0,0,0,0,609,609,203,0,1015,36320,0,0,0,0,8319,0,0,0,0,0,0,0
Ztx64-22386,17175,182483,0,3757,1073,0,0,8587,93388,0,5904,49378,3757,3220,3220,0,0,0,0,0,0,0,0,0,0,0,1073,0,0,0,537,42400,0,0,0,0,8587,0,0,0,0,537,0,0
Ztx64-22686,57083,62556,0,1564,1564,0,0,14075,154045,0,5474,2346,5474,782,1564,0,0,0,0,0,0,0,0,0,0,0,782,782,0,0,0,39098,0,0,0,0,7820,0,782,0,782,0,0,0
Ztx64-22302,1974,71334,0,0,564,0,0,282,6767,0,1128,12688,846,282,2256,0,0,0,0,0,0,0,0,0,0,0,282,0,564,0,1410,2538,0,0,0,0,36372,0,0,0,0,0,0,0
Ztx64-22230,17203,53758,0,0,922,0,0,307,4608,0,3072,11059,6758,614,1843,0,0,0,0,0,0,0,0,0,0,0,922,0,307,0,922,7987,0,0,0,0,25497,0,0,0,0,0,0,0
Ztx64-22272,12858,55719,0,536,536,0,0,2143,43397,0,2143,46076,33217,536,536,0,0,0,0,0,0,0,0,0,0,0,536,0,0,0,2679,64291,0,0,0,0,3750,0,0,0,0,1072,0,0
Ztx64-22390,9178,160610,0,765,0,0,0,4589,95601,0,3059,38240,1530,765,765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3824,19885,0,0,0,0,3059,0,0,0,0,0,0,0
Ztx64-22690,67397,68786,0,695,0,0,0,7643,179261,0,6948,5558,13896,0,695,0,0,0,0,0,0,0,0,0,0,0,0,695,0,0,2779,36130,0,0,0,0,11117,0,0,0,0,695,0,0
Ztx64-22218,3202,8873,0,0,366,0,0,0,1738,0,457,366,2287,274,91,0,0,0,0,0,0,0,0,0,0,91,366,0,0,0,732,6037,0,0,0,0,20857,0,0,0,0,0,0,91
Ztx64-22678,6852,5918,0,6230,0,0,0,1869,15885,0,5607,3426,26164,2803,1557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4984,45476,0,0,0,0,25853,0,311,623,0,0,0,0
